state,date_s,date_e,pop_size,sample_size,pos_count,prev_est,prev_lb,prev_ub,date
SC,2020-09-09,2020-09-18,4955925,975,76.05,0.078,0.0558,0.1019,2020-09-13
SD,2020-09-09,2020-09-23,864289,99,1.782,0.018,0,0.0482,2020-09-16
TN,2020-09-08,2020-09-16,6651089,1028,68.876,0.067,0.0496,0.0857,2020-09-12
TX,2020-09-09,2020-09-24,27885195,988,81.016,0.082,0.0616,0.1047,2020-09-17
UT,2020-09-09,2020-09-18,3045350,1022,52.122,0.051,0.0329,0.079,2020-09-13
VA,2020-09-10,2020-09-23,8413774,1111,35.552,0.032,0.0181,0.0513,2020-09-16
VT,2020-09-09,2020-09-24,624977,497,8.449,0.017,0.0027,0.0415,2020-09-17
WA,2020-09-09,2020-09-22,7294336,968,24.2,0.025,0.0129,0.0383,2020-09-15
WI,2020-09-09,2020-09-24,5778394,976,37.088,0.038,0.022,0.0573,2020-09-17
WV,2020-09-09,2020-09-22,1829054,968,12.584,0.013,0.0051,0.0218,2020-09-15
WY,2020-09-09,2020-09-24,581836,111,1.665,0.015,0,0.0397,2020-09-17
AK,2020-09-22,2020-10-07,738516,994,8.946,0.009,0.004,0.0154,2020-09-30
AL,2020-09-21,2020-10-07,4864680,942,83.838,0.089,0.0658,0.1138,2020-09-29
AR,2020-09-23,2020-10-07,2990671,929,39.947,0.043,0.0278,0.0574,2020-09-30
AZ,2020-09-22,2020-10-07,6946685,764,60.356,0.079,0.0296,0.1443,2020-09-30
CA,2020-09-25,2020-09-30,39148760,979,40.139,0.041,0.0261,0.0564,2020-09-27
CO,2020-09-24,2020-10-07,5531141,951,28.53,0.03,0.017,0.0454,2020-09-30
CT,2020-09-24,2020-09-30,3581504,984,24.6,0.025,0.0147,0.038,2020-09-27
DC,2020-09-23,2020-10-08,684498,676,33.8,0.05,0.0326,0.0715,2020-10-01
DE,2020-09-23,2020-10-08,949495,976,58.56,0.06,0.0407,0.0812,2020-10-01
FL,2020-09-25,2020-09-25,20598139,981,77.499,0.079,0.0609,0.0991,2020-09-25
