state,date_s,date_e,pop_size,sample_size,pos_count,prev_est,prev_lb,prev_ub,date
CO,2020-11-13,2020-11-27,5531141,1316,93.436,0.071,0.0472,0.0997,2020-11-20
CT,2020-11-16,2020-11-28,3581504,1305,60.03,0.046,0.0328,0.0598,2020-11-22
DC,2020-11-10,2020-11-23,684498,1512,172.368,0.114,0.0933,0.1342,2020-11-16
DE,2020-11-10,2020-11-27,949495,1017,82.377,0.081,0.0597,0.103,2020-11-18
FL,2020-11-09,2020-11-20,20598139,1692,172.584,0.102,0.0866,0.1182,2020-11-15
GA,2020-11-15,2020-11-23,10297484,1265,130.295,0.103,0.0809,0.1258,2020-11-19
HI,2020-11-13,2020-11-25,1422029,666,18.648,0.028,0.0134,0.0431,2020-11-19
IA,2020-11-13,2020-11-27,3132499,980,144.06,0.147,0.1102,0.1856,2020-11-20
ID,2020-11-17,2020-11-27,1687809,471,63.114,0.134,0.0961,0.1773,2020-11-22
IL,2020-11-14,2020-11-25,12821497,2023,327.726,0.162,0.1464,0.1783,2020-11-20
IN,2020-11-12,2020-11-25,6637426,1166,72.292,0.062,0.0379,0.0863,2020-11-18
KS,2020-11-09,2020-11-28,2908776,1276,104.632,0.082,0.0639,0.1035,2020-11-19
KY,2020-11-09,2020-11-25,4440204,1719,132.363,0.077,0.0586,0.0979,2020-11-17
LA,2020-11-12,2020-11-26,4663616,1286,119.598,0.093,0.0692,0.1179,2020-11-19
MA,2020-11-16,2020-11-28,6830193,1286,57.87,0.045,0.0329,0.0587,2020-11-22
MD,2020-11-12,2020-11-26,6003435,1237,117.515,0.095,0.0751,0.1143,2020-11-19
ME,2020-11-16,2020-11-27,1332813,565,3.39,0.006,0.001,0.0129,2020-11-22
MI,2020-11-09,2020-11-25,9957488,1907,167.816,0.088,0.0647,0.121,2020-11-17
MN,2020-11-12,2020-11-27,5527358,1301,148.314,0.114,0.0923,0.1383,2020-11-20
MO,2020-11-09,2020-11-25,6090062,2000,206,0.103,0.0814,0.1286,2020-11-17
MS,2020-11-09,2020-11-24,2988762,1450,197.2,0.136,0.1165,0.1561,2020-11-17
MT,2020-11-11,2020-11-25,1041732,486,44.226,0.091,0.06,0.125,2020-11-18
NC,2020-11-09,2020-11-23,10155624,1619,135.996,0.084,0.0649,0.1045,2020-11-16
ND,2020-11-10,2020-11-24,752201,41,318.57,7.77,,,2020-11-17
NE,2020-11-13,2020-11-27,1904760,1262,205.706,0.163,0.1306,0.1961,2020-11-20
NH,2020-11-16,2020-11-27,1343622,1302,20.832,0.016,0.0072,0.0254,2020-11-22
NJ,2020-11-12,2020-11-26,8881845,1483,223.933,0.151,0.1292,0.1735,2020-11-19
NM,2020-11-12,2020-11-29,2092434,1255,110.44,0.088,0.0672,0.1111,2020-11-20
NV,2020-11-09,2020-11-25,2922849,1835,220.2,0.12,0.0918,0.1498,2020-11-17
NY,2020-11-11,2020-11-28,19618453,1199,111.507,0.093,0.0721,0.1124,2020-11-19
OH,2020-11-13,2020-11-25,11641879,1341,171.648,0.128,0.1054,0.1516,2020-11-19
OK,2020-11-14,2020-11-17,3918137,1284,83.46,0.065,0.0462,0.0852,2020-11-16
OR,2020-11-16,2020-11-20,4081943,299,12.259,0.041,0.0167,0.0709,2020-11-18
PA,2020-11-09,2020-11-27,12791181,2553,194.028,0.076,0.0636,0.0883,2020-11-18
PR,2020-11-16,2020-11-28,3386941,1300,45.5,0.035,0.0233,0.048,2020-11-22
RI,2020-11-16,2020-11-27,1056611,1196,63.388,0.053,0.0382,0.0685,2020-11-22
SC,2020-11-10,2020-11-23,4955925,1710,181.26,0.106,0.0889,0.1237,2020-11-16
SD,2020-11-10,2020-11-25,864289,211,25.32,0.12,0.0477,0.2021,2020-11-18
TN,2020-11-09,2020-11-25,6651089,1528,183.36,0.12,0.1029,0.1381,2020-11-17
TX,2020-11-12,2020-11-25,27885195,933,133.419,0.143,0.1062,0.1852,2020-11-18
UT,2020-11-12,2020-11-25,3045350,661,80.642,0.122,0.0866,0.1538,2020-11-18
VA,2020-11-12,2020-11-26,8413774,1344,61.824,0.046,0.0298,0.0656,2020-11-19
VT,2020-11-16,2020-11-28,624977,464,2.784,0.006,0,0.0168,2020-11-22
WI,2020-11-09,2020-11-25,5778394,1614,251.784,0.156,0.1339,0.1813,2020-11-17
WV,2020-11-16,2020-11-27,1829054,904,32.544,0.036,0.0182,0.0578,2020-11-22
WY,2020-11-09,2020-11-25,581836,518,47.138,0.091,0.0429,0.1494,2020-11-17
